indexid,tradedate,ticker,shortnames,secids,waprice,issue_size_total,cap_total,ff_factor,w_factor,issue_size_index,cap_index,weight,value,num_trades,volatility,factora,factorb,influence,determinat,currencyid,tradingsession
IMOEX,2013-09-05,AFKS,AFKS,AFKS,31.092,9650000000,300037800000.0,0.36,1.0,3474000000,108013608000.0,1.7,26962753.9,387,0.0129,0.0019,0.235,0.03,0.0373,RUB,3
IMOEX,2013-09-05,AFLT,AFLT,AFLT,49.38,1110616299,54842232844.62,0.32,1.0,355397216,17549514510.28,0.28,158945218.0,2251,0.0147,-0.003,0.4989,0.01,0.128,RUB,3
IMOEX,2013-09-05,AKRN,AKRN,AKRN,1011.6,40534000,41004194400.0,0.13,1.0,5269420,5330545272.0,0.08,3442835.0,342,0.0182,-0.0046,0.7183,0.0,0.1735,RUB,3
IMOEX,2013-09-05,ALRS,ALRS,ALRS,33.34,7364965630,245547954104.2,0.09,1.0,662846907,22099315869.38,0.35,5868282.9,191,0.0064,-0.0006,0.1326,0.0,0.0478,RUB,3
IMOEX,2013-09-05,BANE,BANE,BANE,1920.0,188710587,362324327040.0,0.12,1.0,22645270,43478919244.8,0.69,54372868.8,813,0.0101,0.0005,0.2497,0.0,0.0676,RUB,3
IMOEX,2013-09-05,BANEP,BANEP,BANEP,1230.0,38673878,47568869940.0,1.0,1.0,38673878,47568869940.0,0.75,20811908.9,346,0.019,0.0048,0.6614,0.01,0.1347,RUB,3
IMOEX,2013-09-05,CHMF,CHMF,CHMF,287.7,837718660,241011658482.0,0.21,1.0,175920919,50612448281.22,0.8,465355807.0,6701,0.0208,0.0043,1.3491,0.03,0.4697,RUB,3
IMOEX,2013-09-05,DIXY,DIXY,DIXY,433.13,124750000,54032967500.0,0.33,1.0,41167500,17830879275.0,0.28,17547347.1,646,0.0172,-0.0016,0.3658,0.0,0.0503,RUB,3
IMOEX,2013-09-05,EONR,EONR,EONR,2.519,63048706145,158819690779.26,0.18,1.0,11348767106,28587544340.27,0.45,50663269.7,874,0.0139,0.0002,0.5421,0.0,0.17,RUB,3
IMOEX,2013-09-05,FEES,FEES,FEES,0.1064,1260386658740,134092536623.35,0.21,1.0,264681198335,28159432690.9,0.44,274362178.1,8599,0.0247,-0.0006,1.2682,0.01,0.2938,RUB,3
