indexid,tradedate,ticker,shortnames,secids,waprice,issue_size_total,cap_total,ff_factor,w_factor,issue_size_index,cap_index,weight,value,num_trades,volatility,factora,factorb,influence,determinat,currencyid,tradingsession
IMOEX,2013-09-04,AFKS,AFKS,AFKS,30.55,9650000000,294807500000.0,0.36,1.0,3474000000,106130700000.0,1.73,88018238.7,890,0.0127,0.0016,0.1728,0.04,0.0162,RUB,3
IMOEX,2013-09-04,AFLT,AFLT,AFLT,47.74,1110616299,53020822114.26,0.32,1.0,355397216,16966663076.56,0.28,188973326.0,3121,0.0139,-0.0036,0.3265,0.0,0.0483,RUB,3
IMOEX,2013-09-04,AKRN,AKRN,AKRN,1005.3,40534000,40748830200.0,0.13,1.0,5269420,5297347926.0,0.09,2365524.4,188,0.0183,-0.0048,0.8238,0.0,0.1771,RUB,3
IMOEX,2013-09-04,ALRS,ALRS,ALRS,33.327,7364965630,245452209551.01,0.09,1.0,662846907,22090698859.59,0.36,5384544.8,626,0.0064,-0.0005,0.1644,0.0,0.0577,RUB,3
IMOEX,2013-09-04,BANE,BANE,BANE,1912.0,188710587,360814642344.0,0.12,1.0,22645270,43297757081.28,0.71,15126862.0,93,0.0102,0.0007,0.2962,0.0,0.0738,RUB,3
IMOEX,2013-09-04,BANEP,BANEP,BANEP,1210.6,38673878,46818596706.8,1.0,1.0,38673878,46818596706.8,0.76,8309809.1,121,0.0201,0.0059,0.7979,0.0,0.1373,RUB,3
IMOEX,2013-09-04,CHMF,CHMF,CHMF,278.9,837718660,233639734274.0,0.21,1.0,175920919,49064344197.54,0.8,255369899.0,5317,0.0207,0.0049,1.5324,0.01,0.4778,RUB,3
IMOEX,2013-09-04,DIXY,DIXY,DIXY,428.0,124750000,53393000000.0,0.33,1.0,41167500,17619690000.0,0.29,34879870.5,150,0.0171,-0.0016,0.3601,0.0,0.0387,RUB,3
IMOEX,2013-09-04,EONR,EONR,EONR,2.501,63048706145,157684814068.64,0.18,1.0,11348767106,28383266532.36,0.46,44531050.0,1318,0.0141,0.0007,0.6534,0.0,0.1885,RUB,3
IMOEX,2013-09-04,FEES,FEES,FEES,0.1044,1260386658740,131533951706.11,0.21,1.0,264681198335,27622129858.28,0.45,146727000.9,7449,0.0246,-0.0003,1.4629,-0.01,0.3104,RUB,3
IMOEX,2013-09-04,GAZP,GAZP,GAZP,132.01,23673512900,3125140437929.0,0.46,0.6855614,7465637457,985538800758.67,16.07,2816966135.0,22754,0.0146,0.003,1.3208,0.15,0.7197,RUB,3
IMOEX,2013-09-04,GMKN,GMKN,GMKN,4424.0,172156822,761621780528.0,0.28,1.0,48203910,213254098547.84,3.48,898825393.0,7585,0.0158,-0.0022,1.2344,0.01,0.5353,RUB,3
IMOEX,2013-09-04,HYDR,HYDR,HYDR,0.5412,317637520094,171905425874.87,0.34,1.0,107996756832,58447844797.46,0.95,373972426.8,9999,0.0166,0.0009,0.9033,-0.02,0.2596,RUB,3
IMOEX,2013-09-04,IRAO,IRAO,IRAO,0.0115,10440000997683,120414971507.28,0.18,1.0,1879200179583,21674694871.31,0.35,36504698.9,4139,0.0154,-0.0032,1.2156,0.0,0.5436,RUB,3
IMOEX,2013-09-04,LKOH,LKOH,LKOH,1929.9,850563255,1641502025824.5,0.57,0.9289614,450380046,869188451407.25,14.17,941647947.5,9199,0.0101,-0.0001,0.8511,-0.09,0.623,RUB,3
IMOEX,2013-09-04,LSRG,LSRG,LSRG,565.0,103030215,58212071475.0,0.33,1.0,33999971,19209983586.75,0.31,1990803.8,330,0.0161,0.0002,0.7225,0.0,0.1754,RUB,3
IMOEX,2013-09-04,MAGN,MAGN,MAGN,8.007,11174330000,89472860310.0,0.14,1.0,1564406200,12526200443.4,0.2,15688934.1,682,0.0156,0.0004,1.234,0.0,0.5506,RUB,3
IMOEX,2013-09-04,MGNT,MGNT,MGNT,7529.5,94561355,711999722472.5,0.54,0.9289614,47435678,357166939853.22,5.82,518040696.0,5698,0.0208,-0.0006,1.0175,0.02,0.2096,RUB,3
IMOEX,2013-09-04,MOEX,MOEX,MOEX,61.91,2378489153,147252263462.23,0.25,1.0,594622288,36813065865.56,0.6,72235002.7,685,0.0161,0.0027,0.7635,0.0,0.1971,RUB,3
IMOEX,2013-09-04,MRKH,MRKH,MRKH,1.013,47871694416,48494026443.41,0.3,1.0,14361508325,14548207933.02,0.24,131323594.0,5197,0.0242,-0.0022,1.3355,0.0,0.2673,RUB,3
IMOEX,2013-09-04,MSNG,MSNG,MSNG,1.0844,39749359700,43104205658.68,0.15,1.0,5962403955,6465630848.8,0.11,7006341.7,1704,0.0148,-0.0005,1.1911,0.0,0.5676,RUB,3
IMOEX,2013-09-04,MSRS,MSRS,MSRS,1.0964,48707091574,53402455201.73,0.18,1.0,8767276483,9612441936.31,0.16,527088.7,111,0.0167,-0.0027,1.0823,0.0,0.3662,RUB,3
