indexid,tradedate,ticker,shortnames,secids,weight,tradingsession
IMOEX,2013-10-21,AFKS,AFKS,AFKS,1.71,3
IMOEX,2013-10-21,AFLT,AFLT,AFLT,0.27,3
IMOEX,2013-10-21,ALRS,ALRS,ALRS,0.32,3
IMOEX,2013-10-21,BANE,BANE,BANE,0.6,3
IMOEX,2013-10-21,BANEP,BANEP,BANEP,0.75,3
IMOEX,2013-10-21,CHMF,CHMF,CHMF,0.71,3
IMOEX,2013-10-21,DIXY,DIXY,DIXY,0.25,3
IMOEX,2013-10-21,EONR,EONR,EONR,0.41,3
IMOEX,2013-10-21,FEES,FEES,FEES,0.38,3
IMOEX,2013-10-21,GAZP,GAZP,GAZP,15.93,3
IMOEX,2013-10-21,GMKN,GMKN,GMKN,3.2,3
IMOEX,2013-10-21,HYDR,HYDR,HYDR,0.86,3
IMOEX,2013-10-21,IRAO,IRAO,IRAO,0.28,3
IMOEX,2013-10-21,LKOH,LKOH,LKOH,13.77,3
IMOEX,2013-10-21,LSRG,LSRG,LSRG,0.28,3
IMOEX,2013-10-21,MAGN,MAGN,MAGN,0.18,3
IMOEX,2013-10-21,MFON,MFON,MFON,1.55,3
IMOEX,2013-10-21,MGNT,MGNT,MGNT,5.81,3
IMOEX,2013-10-21,MOEX,MOEX,MOEX,0.56,3
IMOEX,2013-10-21,MRKH,MRKH,MRKH,0.22,3
IMOEX,2013-10-21,MSNG,MSNG,MSNG,0.08,3
IMOEX,2013-10-21,MSRS,MSRS,MSRS,0.15,3
IMOEX,2013-10-21,MSTT,MSTT,MSTT,0.18,3
IMOEX,2013-10-21,MTLR,MTLR,MTLR,0.21,3
IMOEX,2013-10-21,MTLRP,MTLRP,MTLRP,0.09,3
IMOEX,2013-10-21,MTSS,MTSS,MTSS,4.79,3
IMOEX,2013-10-21,MVID,MVID,MVID,0.18,3
IMOEX,2013-10-21,NLMK,NLMK,NLMK,0.66,3
IMOEX,2013-10-21,NMTP,NMTP,NMTP,0.23,3
IMOEX,2013-10-21,NVTK,NVTK,NVTK,4.66,3
IMOEX,2013-10-21,PHOR,PHOR,PHOR,0.33,3
IMOEX,2013-10-21,PHST,PHST,PHST,0.26,3
IMOEX,2013-10-21,PIKK,PIKK,PIKK,0.24,3
IMOEX,2013-10-21,POLY,POLY,POLY,0.83,3
IMOEX,2013-10-21,ROSN,ROSN,ROSN,4.58,3
IMOEX,2013-10-21,RTKM,RTKM,RTKM,1.77,3
IMOEX,2013-10-21,RTKMP,RTKMP,RTKMP,0.21,3
IMOEX,2013-10-21,RUALR,RUALR,RUALR,0.21,3
IMOEX,2013-10-21,SBER,SBER,SBER,14.65,3
IMOEX,2013-10-21,SBERP,SBERP,SBERP,1.1,3
IMOEX,2013-10-21,SNGS,SNGS,SNGS,3.54,3
IMOEX,2013-10-21,SNGSP,SNGSP,SNGSP,1.87,3
IMOEX,2013-10-21,SVAV,SVAV,SVAV,0.13,3
IMOEX,2013-10-21,TATN,TATN,TATN,2.14,3
IMOEX,2013-10-21,TATNP,TATNP,TATNP,0.24,3
IMOEX,2013-10-21,TRMK,TRMK,TRMK,0.32,3
IMOEX,2013-10-21,TRNFP,TRNFP,TRNFP,1.87,3
IMOEX,2013-10-21,URKA,URKA,URKA,3.07,3
IMOEX,2013-10-21,VSMO,VSMO,VSMO,0.27,3
IMOEX,2013-10-21,VTBR,VTBR,VTBR,3.06,3
