indexid,tradedate,ticker,shortnames,secids,waprice,issue_size_total,cap_total,ff_factor,w_factor,issue_size_index,cap_index,weight,value,num_trades,volatility,factora,factorb,influence,determinat,currencyid,tradingsession
IMOEX,2014-02-03,AFKS,AFKS,AFKS,42.45,9650000000,409642500000.0,0.36,1.0,3474000000,147471300000.0,2.26,177308575.9,1980,0.0386,0.0034,1.0853,0.05,0.0439,RUB,3
IMOEX,2014-02-03,AFLT,AFLT,AFLT,80.0,1110616299,88849303920.0,0.32,1.0,355397216,28431777254.4,0.44,388760220.0,8248,0.025,0.0076,0.6541,-0.02,0.0382,RUB,3
IMOEX,2014-02-03,ALRS,ALRS,ALRS,35.7,7364965630,262929272991.0,0.23,1.0,1693942095,60473732787.93,0.93,57956455.7,1345,0.0178,0.0011,1.0819,-0.02,0.2051,RUB,3
IMOEX,2014-02-03,BANE,BANE,BANE,1966.0,188710587,371005014042.0,0.12,1.0,22645270,44520601685.04,0.68,24646848.7,1046,0.0145,0.0016,0.6883,0.0,0.1248,RUB,3
IMOEX,2014-02-03,BANEP,BANEP,BANEP,1443.0,38673878,55806405954.0,1.0,1.0,38673878,55806405954.0,0.86,20662970.3,1783,0.0135,0.0027,0.6533,-0.01,0.1309,RUB,3
IMOEX,2014-02-03,BSPB,BSPB,BSPB,37.86,439554000,16641514440.0,0.41,1.0,180217140,6823020920.4,0.1,3259730.7,912,0.018,-0.0027,1.1152,0.0,0.2141,RUB,3
IMOEX,2014-02-03,CHMF,CHMF,CHMF,280.1,837718660,234644996666.0,0.21,1.0,175920919,49275449299.86,0.76,316322695.0,4888,0.0136,-0.0009,1.1535,-0.01,0.401,RUB,3
IMOEX,2014-02-03,DIXY,DIXY,DIXY,329.6,124750000,41117600000.0,0.33,1.0,41167500,13568808000.0,0.21,11145025.0,551,0.0149,-0.0046,0.5239,0.0,0.069,RUB,3
IMOEX,2014-02-03,EONR,EONR,EONR,2.2909,63048706145,144438280907.58,0.18,1.0,11348767106,25998890563.36,0.4,51414847.1,1322,0.0124,-0.0007,0.4462,0.0,0.0724,RUB,3
IMOEX,2014-02-03,FEES,FEES,FEES,0.0826,1267141015996,104703862151.75,0.21,1.0,266099613359,21987811051.87,0.34,331612523.6,12333,0.0183,0.0009,0.6897,-0.01,0.0788,RUB,3
IMOEX,2014-02-03,GAZP,GAZP,GAZP,141.72,23673512900,3355010248188.0,0.46,0.6422378,6993851428,991168624355.91,15.2,8183700658.6,49985,0.0131,0.0,1.2332,-0.37,0.4931,RUB,3
IMOEX,2014-02-03,GMKN,GMKN,GMKN,5320.0,158245476,841865932320.0,0.3,1.0,47473643,252559779696.0,3.87,1522988768.0,10434,0.012,0.0026,0.8056,-0.04,0.2519,RUB,3
IMOEX,2014-02-03,HYDR,HYDR,HYDR,0.5555,317637520094,176447642412.22,0.34,1.0,107996756832,59992198420.15,0.92,263327931.8,5562,0.0111,0.0005,0.7065,0.0,0.2239,RUB,3
IMOEX,2014-02-03,IRAO,IRAO,IRAO,0.0105,10440000997683,110037610515.58,0.18,1.0,1879200179583,19806769892.8,0.3,650866790.4,16410,0.0316,0.0077,1.1528,0.0,0.074,RUB,3
IMOEX,2014-02-03,KMAZ,KMAZ,KMAZ,45.5,707229559,32178944934.5,0.15,1.0,106084434,4826841740.18,0.07,11659087.0,341,0.0313,-0.0012,0.311,0.0,0.0055,RUB,3
IMOEX,2014-02-03,LKOH,LKOH,LKOH,1966.8,850563255,1672887809934.0,0.57,0.9083526,440388466,866156035247.22,13.28,2320386209.6,14697,0.0087,-0.0004,0.8208,-0.15,0.4997,RUB,3
IMOEX,2014-02-03,LSRG,LSRG,LSRG,544.5,103030215,56099952067.5,0.33,1.0,33999971,18512984182.28,0.28,10633857.4,900,0.0178,0.0007,1.1475,0.0,0.2308,RUB,3
IMOEX,2014-02-03,MAGN,MAGN,MAGN,6.932,11174330000,77460455560.0,0.14,1.0,1564406200,10844463778.4,0.17,79868962.8,3909,0.0113,-0.0022,0.8621,0.0,0.3221,RUB,3
IMOEX,2014-02-03,MFON,MFON,MFON,1045.9,620000000,648458000000.0,0.15,1.0,93000000,97268700000.0,1.49,9997181.0,499,0.0169,0.0001,0.6634,0.01,0.0862,RUB,3
IMOEX,2014-02-03,MGNT,MGNT,MGNT,8554.1,94561355,808887286805.5,0.54,0.9083526,46383328,396767629841.11,6.09,2155770120.6,17420,0.0202,0.0002,0.7026,0.11,0.0676,RUB,3
IMOEX,2014-02-03,MOEX,MOEX,MOEX,61.18,2378489153,145515966380.54,0.37,1.0,880040987,53840907560.8,0.83,51915895.0,1563,0.0153,-0.0006,0.6977,0.0,0.1152,RUB,3
IMOEX,2014-02-03,MSRS,MSRS,MSRS,1.305,48707091574,63562754504.07,0.12,1.0,5844850989,7627530540.49,0.12,1499539.4,321,0.0185,0.0022,1.0019,0.0,0.1625,RUB,3
IMOEX,2014-02-03,MSTT,MSTT,MSTT,120.01,282215500,33868682155.0,0.34,1.0,95953270,11515351932.7,0.18,10007040.6,700,0.0225,-0.0021,0.7206,0.0,0.0569,RUB,3
IMOEX,2014-02-03,MTLR,MTLR,MTLR,61.4,416270745,25559023743.0,0.35,1.0,145694761,8945658310.05,0.14,32271180.0,2066,0.0189,-0.0021,0.9371,0.0,0.137,RUB,3
IMOEX,2014-02-03,MTLRP,MTLRP,MTLRP,32.75,138756915,4544288966.25,0.6,1.0,83254149,2726573379.75,0.04,1714934.7,874,0.0168,-0.0033,0.9204,0.0,0.1676,RUB,3
IMOEX,2014-02-03,MTSS,MTSS,MTSS,289.03,2066413562,597255511824.86,0.49,1.0,1012542645,292655200794.18,4.49,726826975.4,8603,0.0135,-0.0009,1.3237,0.02,0.5317,RUB,3
IMOEX,2014-02-03,MVID,MVID,MVID,230.88,179768227,41504888249.76,0.26,1.0,46739739,10791270944.94,0.17,22878091.6,1127,0.0193,-0.0039,0.0729,0.0,0.0008,RUB,3
IMOEX,2014-02-03,NLMK,NLMK,NLMK,51.43,5993227240,308231676953.2,0.14,1.0,839051814,43152434773.45,0.66,94161657.2,3713,0.0144,0.0002,1.3385,0.0,0.4805,RUB,3
IMOEX,2014-02-03,NMTP,NMTP,NMTP,2.7681,19259815400,53313095008.74,0.15,1.0,2888972310,7996964251.31,0.12,2765729.8,294,0.0256,-0.002,1.1867,0.0,0.1196,RUB,3
IMOEX,2014-02-03,NVTK,NVTK,NVTK,388.51,3036306000,1179635244060.0,0.27,1.0,819802620,318501515896.2,4.89,504585153.9,7024,0.0128,-0.0001,0.9176,-0.06,0.2862,RUB,3
IMOEX,2014-02-03,PHOR,PHOR,PHOR,1056.3,129500000,136790850000.0,0.19,1.0,24605000,25990261500.0,0.4,5904557.7,673,0.0163,0.0025,0.9505,-0.01,0.1889,RUB,3
IMOEX,2014-02-03,PIKK,PIKK,PIKK,65.0,660497344,42932327360.0,0.42,1.0,277408884,18031577491.2,0.28,21739725.3,670,0.0198,0.0022,1.0472,-0.01,0.1555,RUB,3
IMOEX,2014-02-03,POLY,POLY,POLY,334.61,389472865,130321515357.65,0.5,1.0,194736433,65160757678.82,1.0,10778904.08,676,0.0334,0.0042,0.8532,0.0,0.0363,RUB,3
IMOEX,2014-02-03,ROSN,ROSN,ROSN,238.96,10598177817,2532540571150.32,0.12,1.0,1271781338,303904868538.04,4.66,1144088541.4,12341,0.0113,0.0006,1.1723,-0.12,0.5994,RUB,3
IMOEX,2014-02-03,RSTI,RSTI,RSTI,0.713,161078853310,114849222410.03,0.14,1.0,22551039463,16078891137.4,0.25,534289058.0,10892,0.0257,0.0007,0.7162,-0.01,0.0432,RUB,3
IMOEX,2014-02-03,RTKM,RTKM,RTKM,110.07,2669204301,293799317411.07,0.31,1.0,827453333,91077788397.43,1.4,105005897.7,3668,0.0121,-0.0003,0.7401,-0.01,0.2063,RUB,3
IMOEX,2014-02-03,RTKMP,RTKMP,RTKMP,71.58,242831469,17381876551.02,0.7,1.0,169982028,12167313585.71,0.19,12731179.0,422,0.0118,-0.0009,0.5756,0.0,0.1314,RUB,3
IMOEX,2014-02-03,RUALR,RUALR,RUALR,115.0,2000000000,230000000000.0,0.08,1.0,160000000,18400000000.0,0.28,6127444.0,608,0.033,0.0072,1.6608,-0.01,0.1408,RUB,3
IMOEX,2014-02-03,SBER,SBER,SBER,94.66,21586948000,2043420497680.0,0.48,0.8711671,9026802666,854477140341.33,13.11,7762450691.6,44760,0.0099,-0.0013,1.1361,0.02,0.7254,RUB,3
IMOEX,2014-02-03,SBERP,SBERP,SBERP,74.98,1000000000,74980000000.0,1.0,0.8711671,871167100,65320109158.0,1.0,718984103.0,7130,0.0093,-0.0019,0.7893,0.0,0.4029,RUB,3
IMOEX,2014-02-03,SNGS,SNGS,SNGS,26.853,35725994705,959350135813.37,0.25,0.9083526,8112950044,217857047544.1,3.34,870465043.9,11062,0.0118,0.0001,1.1295,-0.01,0.5136,RUB,3
IMOEX,2014-02-03,SNGSP,SNGSP,SNGSP,24.542,7701998235,189022440683.37,0.73,0.9083526,5107174989,125340288580.75,1.92,1016242616.5,15923,0.0132,0.0014,1.1061,-0.06,0.3894,RUB,3
IMOEX,2014-02-03,SVAV,SVAV,SVAV,698.0,34270159,23920570982.0,0.34,1.0,11651854,8132994133.88,0.12,5684731.0,243,0.017,-0.0005,1.2915,0.0,0.3211,RUB,3
IMOEX,2014-02-03,TATN,TATN,TATN,192.62,2178690700,419659402634.0,0.32,1.0,697181024,134291008842.88,2.06,255140007.4,4571,0.0134,-0.0005,1.2429,-0.03,0.477,RUB,3
IMOEX,2014-02-03,TATNP,TATNP,TATNP,122.43,147508500,18059465655.0,1.0,1.0,147508500,18059465655.0,0.28,9014312.2,607,0.0138,0.0017,0.9935,0.0,0.2895,RUB,3
IMOEX,2014-02-03,TRMK,TRMK,TRMK,93.7,937586094,87851817007.8,0.28,1.0,262524106,24598508762.18,0.38,5737282.6,719,0.017,0.0013,0.9735,0.0,0.1816,RUB,3
IMOEX,2014-02-03,TRNFP,TRNFP,TRNFP,79447.0,1554875,123530154125.0,1.0,1.0,1554875,123530154125.0,1.89,389192832.0,2752,0.0088,-0.0006,0.4501,-0.02,0.1469,RUB,3
