iter	RMSE
0	831.1698161
1	809.7761958
2	789.1698008
3	771.3208477
4	751.8390049
5	734.0511622
6	715.5106018
7	698.7477172
8	682.3353615
9	666.2271552
10	649.8231951
11	635.0823018
12	619.9366467
13	606.0006016
14	592.5440988
15	579.3706405
16	567.8243612
17	555.4530689
18	543.5210223
19	532.4953137
20	521.5949945
21	510.4238351
22	499.5275353
23	489.6866717
24	480.1138404
25	471.012932
26	462.2768594
27	452.0758465
28	443.0367169
29	433.814327
30	426.3449311
31	417.6687401
32	410.9424449
33	404.66752
34	397.0176084
35	391.1243717
36	383.6137879
37	375.8132482
38	370.7639486
39	364.2032221
40	358.033591
41	352.0536966
42	345.1787623
43	338.9900841
44	333.0885939
45	327.7705263
46	322.6992981
47	317.26874
48	312.4845259
49	306.9996032
50	302.4089253
51	298.143417
52	293.8401502
53	289.41169
54	285.4512112
55	281.5134953
56	277.6833157
57	274.9386893
58	271.1199882
59	267.3496351
60	263.0561273
61	260.2014831
62	257.2252164
63	254.5753141
64	252.1182274
65	248.5590046
66	245.7976136
67	242.4942351
68	238.9519825
69	234.9219181
70	232.4620113
71	229.0492579
72	225.1816256
73	222.3639583
74	219.5900621
75	217.6761809
76	216.0697365
77	213.5330598
78	211.2060895
79	207.6539495
80	205.4970282
81	203.7893695
82	202.085854
83	199.3887436
84	197.5090267
85	195.6966062
86	193.4991571
87	191.7212793
88	188.6868087
89	186.6184597
90	185.1241904
91	184.1377357
92	181.8760007
93	180.1752339
94	178.1596438
95	176.7580456
96	174.5581753
97	172.7547072
98	171.1610604
99	170.2999563
100	168.1021657
101	167.1215321
102	165.1711203
103	163.9236931
104	161.8078794
105	160.2038699
106	158.7346732
107	157.5399574
108	156.2371725
109	154.8970622
110	154.2459425
111	153.0318036
112	151.7274997
113	150.2089965
114	149.0226833
115	147.4996234
116	146.8729667
117	145.814892
118	144.8072775
119	143.9754621
120	142.8400654
121	142.0260088
122	141.2742552
123	139.8317146
124	139.3148977
125	138.8419854
126	137.98172
127	136.6591088
128	135.5078598
129	134.8754017
130	133.9850032
131	132.8786984
132	132.1289154
133	131.5921531
134	130.8115207
135	130.3994143
136	129.9790797
137	129.426203
138	128.3456169
139	127.3553221
140	126.5888472
141	125.9643023
142	125.60071
143	124.8173382
144	124.0592812
145	123.5328447
146	122.7805311
147	122.2376042
148	121.9176632
