iter	Passed	Remaining
0	0	853
1	1	679
2	2	675
3	2	691
4	3	696
5	4	702
6	5	716
7	5	715
8	6	728
9	8	851
10	9	844
11	10	837
12	10	822
13	11	815
14	12	808
15	13	802
16	13	774
17	14	773
18	14	771
19	15	772
20	16	786
21	18	813
22	20	852
23	20	847
24	21	842
25	22	834
26	22	815
27	23	810
28	25	850
29	26	850
30	27	854
31	28	850
32	28	847
33	29	843
34	30	839
35	31	830
36	36	943
37	37	937
38	37	929
39	38	920
40	39	913
41	39	908
42	40	902
43	41	896
44	42	891
45	42	885
46	43	881
47	44	876
48	44	871
49	45	865
50	46	861
51	47	862
52	47	856
53	48	854
54	49	852
55	50	850
56	51	846
57	51	842
58	52	839
59	53	834
60	53	831
61	54	827
62	55	824
63	56	821
64	56	817
65	57	815
66	58	811
67	58	808
68	59	804
69	60	801
70	61	798
71	62	805
72	63	807
73	64	804
74	65	801
75	65	800
76	66	797
77	67	797
78	68	794
79	68	791
80	69	788
81	70	786
82	70	783
83	71	782
84	72	779
85	73	778
86	74	778
87	74	776
88	75	774
89	76	773
90	77	772
91	78	770
92	78	768
93	79	766
94	80	764
95	80	759
96	81	757
97	82	757
98	83	756
99	83	754
100	84	753
101	85	752
102	86	750
103	86	747
104	87	745
105	88	744
106	88	742
107	89	742
108	90	742
109	91	741
110	92	741
111	93	741
112	94	740
113	95	739
114	96	741
115	97	739
116	97	737
117	98	736
118	99	734
119	100	733
120	101	733
121	101	732
122	102	731
123	103	729
124	103	726
125	104	724
126	105	723
127	106	722
128	106	721
129	107	721
130	108	720
131	109	719
132	110	718
133	111	721
134	112	721
135	113	720
136	114	720
137	115	719
138	116	718
139	116	717
140	117	716
141	118	714
142	119	713
143	120	715
144	121	713
145	121	712
146	122	711
147	123	710
148	124	710
149	125	709
150	126	709
151	126	708
152	127	706
153	128	705
154	129	704
155	129	702
156	130	701
157	131	700
158	132	701
159	133	699
160	133	697
161	134	695
162	135	694
163	135	692
164	136	690
165	137	688
166	137	687
167	138	686
168	139	685
169	140	684
170	140	682
171	141	681
172	142	680
173	143	678
174	143	677
175	144	676
176	145	675
177	145	674
178	146	673
179	147	673
180	148	672
181	149	670
182	150	670
183	150	669
184	151	668
185	152	666
186	153	667
187	154	666
188	155	667
189	156	666
190	157	665
191	157	664
192	158	663
193	159	661
194	160	660
195	160	659
196	161	657
197	162	656
198	162	655
199	163	654
200	164	653
201	165	652
202	165	650
203	166	649
204	167	648
205	168	648
206	169	648
207	170	649
208	171	647
209	171	647
210	172	646
211	173	645
212	174	644
213	175	644
214	176	642
215	176	642
216	177	641
217	178	640
218	179	640
219	180	639
220	181	638
221	181	637
222	184	641
223	184	640
224	185	640
225	186	639
226	187	638
227	188	637
228	188	635
229	189	634
230	190	633
231	191	632
232	191	631
233	192	630
234	193	629
235	194	628
236	195	628
237	195	626
238	196	625
239	197	624
240	198	623
241	198	623
242	199	622
243	200	621
244	201	620
245	202	619
246	202	618
247	203	617
248	204	616
249	205	615
250	206	615
251	207	614
252	207	613
253	208	612
254	209	611
255	210	610
256	210	609
257	211	608
258	212	608
259	213	607
260	214	606
261	215	606
262	215	605
263	216	604
264	223	619
265	223	617
266	224	616
267	225	615
268	226	615
269	227	613
270	228	613
271	230	617
272	231	616
273	232	615
274	232	614
275	233	612
276	234	611
277	235	610
278	235	609
279	236	608
280	237	607
281	238	606
282	238	605
283	239	603
284	240	602
285	240	601
286	241	600
287	242	599
288	243	598
289	244	598
290	245	597
291	245	596
292	246	595
293	247	593
294	248	592
295	248	591
296	249	590
297	250	589
298	250	588
299	251	587
300	252	585
301	253	584
302	253	583
303	254	582
304	255	581
305	255	580
306	256	579
307	257	578
308	258	577
309	259	576
310	260	576
311	260	575
312	261	574
313	262	572
314	263	571
315	263	571
316	264	569
317	265	568
318	265	567
319	266	566
320	267	565
321	268	564
322	268	563
323	269	562
324	270	561
325	271	560
326	271	559
327	272	558
328	273	558
329	274	557
330	275	556
331	276	556
332	277	555
333	277	554
334	278	553
335	279	552
336	280	551
337	281	550
338	281	549
339	282	548
340	283	547
341	283	546
342	284	545
343	285	543
344	285	542
345	286	541
346	287	540
347	287	539
348	288	538
349	289	537
350	290	536
351	290	535
352	291	534
353	292	533
354	292	532
355	293	531
356	294	529
357	294	528
358	295	527
359	296	526
360	296	525
361	297	524
362	298	523
363	298	522
364	299	520
365	300	519
366	300	518
367	301	517
368	302	517
369	307	523
370	308	523
371	309	522
372	310	521
373	311	520
374	311	519
375	312	518
376	313	517
377	314	518
378	315	517
379	316	516
380	317	515
381	318	514
382	319	514
383	320	513
384	320	512
385	321	511
386	322	510
387	323	509
388	323	508
389	324	507
390	325	506
391	325	505
392	326	504
393	327	503
394	328	502
395	328	501
396	329	500
397	330	499
398	330	498
399	331	497
400	332	496
401	333	495
402	334	495
403	334	494
404	335	493
405	336	492
406	337	491
407	337	490
408	338	489
409	339	488
410	339	487
411	340	486
412	341	485
413	342	484
414	342	483
415	343	482
416	344	481
417	345	480
418	345	479
419	346	478
420	347	477
421	347	476
422	348	475
423	349	474
424	350	473
425	350	472
426	352	472
427	352	471
428	353	470
429	354	469
430	355	468
431	355	467
432	356	466
433	357	466
434	358	465
435	358	464
436	359	463
437	360	462
438	360	461
439	361	460
440	362	459
441	363	458
442	363	457
443	364	456
444	365	456
445	366	455
446	367	454
447	367	453
448	368	452
449	369	451
450	370	450
451	371	449
452	372	449
453	372	448
454	373	447
455	374	446
456	375	445
457	375	444
458	376	443
459	377	442
460	377	441
461	378	440
462	379	440
463	380	439
464	381	438
465	382	437
466	382	436
467	383	436
468	384	435
469	384	434
470	385	433
471	386	432
472	387	431
473	388	430
474	388	429
475	389	428
476	390	428
477	391	427
478	391	426
479	392	425
480	393	424
481	394	423
482	395	423
483	396	422
484	396	421
485	397	420
486	398	419
487	399	418
488	400	418
489	400	417
490	401	416
491	402	415
492	403	414
493	403	413
494	404	412
495	405	411
496	405	410
497	406	409
498	407	408
499	407	407
500	408	406
501	409	406
502	410	405
503	411	404
504	411	403
505	412	402
506	413	402
507	414	401
508	415	400
509	415	399
510	416	398
511	417	397
512	418	396
513	418	395
514	419	395
515	420	394
516	420	393
517	421	392
518	422	391
519	423	390
520	423	389
521	424	389
522	425	388
523	426	387
524	427	386
525	427	385
526	428	384
527	429	384
528	430	383
529	430	382
530	431	381
531	432	380
532	433	379
533	433	378
534	434	377
535	435	376
536	435	375
537	436	374
538	437	374
539	437	373
540	438	372
541	439	371
542	440	370
543	441	369
544	441	368
545	443	368
546	444	368
547	445	367
548	445	366
549	446	365
550	447	364
551	448	363
552	448	362
553	449	362
554	450	361
555	451	360
556	452	359
557	452	358
558	453	357
559	454	357
560	455	356
561	456	355
562	457	354
563	457	353
564	458	353
565	459	352
566	460	351
567	460	350
568	461	349
569	462	348
570	463	347
571	463	347
572	464	346
573	465	345
574	465	344
575	466	343
576	467	342
577	468	341
578	468	341
579	469	340
580	471	339
581	471	338
582	472	338
583	473	337
584	474	336
585	474	335
586	475	334
587	476	333
588	476	332
589	477	331
590	478	331
591	479	330
592	479	329
593	480	328
594	481	327
595	482	326
596	483	326
597	483	325
598	484	324
599	485	323
600	486	322
601	486	321
602	487	321
603	488	320
604	489	319
605	490	318
606	490	317
607	491	316
608	492	316
609	493	315
610	493	314
611	494	313
612	495	312
613	496	311
614	496	310
615	497	310
616	498	309
617	499	308
618	500	307
619	501	307
620	501	306
621	502	305
622	503	304
623	504	303
624	505	303
625	505	302
626	506	301
627	507	300
628	507	299
629	508	298
630	509	298
631	510	297
632	511	296
633	511	295
634	512	294
635	513	293
636	514	292
637	514	292
638	515	291
639	516	290
640	517	289
641	518	289
642	519	288
643	520	287
644	520	286
645	521	285
646	522	285
647	523	284
648	524	283
649	524	282
650	525	281
651	526	281
652	527	280
653	528	279
654	528	278
655	529	277
656	530	277
657	531	276
658	532	275
659	533	274
660	533	273
661	534	272
662	535	272
663	536	271
664	536	270
665	537	269
666	538	268
667	538	267
668	539	266
669	540	266
670	541	265
671	541	264
672	542	263
673	543	262
674	544	262
675	544	261
676	545	260
677	546	259
678	547	258
679	548	257
680	548	257
681	549	256
682	550	255
683	551	254
684	551	253
685	552	252
686	553	252
687	554	251
688	555	250
689	555	249
690	556	248
691	557	248
692	558	247
693	558	246
694	559	245
695	560	244
696	561	244
697	562	243
698	563	242
699	563	241
700	564	240
701	565	239
702	566	239
703	566	238
704	567	237
705	568	236
706	569	235
707	569	235
708	570	234
709	571	233
710	572	232
711	572	231
712	573	230
713	574	230
714	575	229
715	576	228
716	577	227
717	577	226
718	578	226
719	579	225
720	580	224
721	581	223
722	581	222
723	582	221
724	583	221
725	583	220
726	584	219
727	585	218
728	585	217
729	586	216
730	587	216
731	588	215
732	588	214
733	589	213
734	590	212
735	591	212
736	591	211
737	592	210
738	593	209
739	594	208
740	595	208
741	596	207
742	596	206
743	597	205
744	598	204
745	598	203
746	599	203
747	600	202
748	600	201
749	601	200
750	602	199
751	603	198
752	603	198
753	604	197
754	605	196
755	606	195
756	606	194
757	607	194
758	608	193
759	609	192
760	610	191
761	611	190
762	611	190
763	612	189
764	613	188
765	614	187
766	614	186
767	615	185
768	616	185
769	616	184
770	617	183
771	618	182
772	619	181
773	619	180
774	620	180
775	621	179
776	622	178
777	623	177
778	623	176
779	624	176
780	625	175
781	626	174
782	626	173
783	627	172
784	628	172
785	628	171
786	629	170
787	630	169
788	631	168
789	631	167
790	632	167
791	633	166
792	633	165
793	634	164
794	635	163
795	635	162
796	636	162
797	637	161
798	638	160
799	638	159
800	639	158
801	640	158
802	640	157
803	641	156
804	642	155
805	642	154
806	643	153
807	644	153
808	645	152
809	645	151
810	646	150
811	647	149
812	647	148
813	648	148
814	649	147
815	649	146
816	650	145
817	651	144
818	652	144
819	653	143
820	653	142
821	654	141
822	655	140
823	656	140
824	656	139
825	657	138
826	658	137
827	659	136
828	660	136
829	661	135
830	661	134
831	662	133
832	663	133
833	664	132
834	665	131
835	666	130
836	667	129
837	669	129
838	670	128
839	671	127
840	672	127
841	673	126
842	674	125
843	674	124
844	675	123
845	676	123
846	676	122
847	677	121
848	678	120
849	679	119
850	679	119
851	680	118
852	681	117
853	682	116
854	683	115
855	684	115
856	684	114
857	685	113
858	686	112
859	687	111
860	688	111
861	688	110
862	689	109
863	690	108
864	690	107
865	691	106
866	692	106
867	692	105
868	693	104
869	694	103
870	695	102
871	695	102
872	696	101
873	697	100
874	698	99
875	699	98
876	699	98
877	700	97
878	701	96
879	701	95
880	702	94
881	703	94
882	704	93
883	704	92
884	705	91
885	706	90
886	707	90
887	707	89
888	708	88
889	709	87
890	710	86
891	710	86
892	711	85
893	712	84
894	713	83
895	713	82
896	714	82
897	715	81
898	716	80
899	717	79
900	717	78
901	718	78
902	719	77
903	719	76
904	720	75
905	721	74
906	722	74
907	722	73
908	723	72
909	724	71
910	725	70
911	725	70
912	726	69
913	727	68
914	728	67
915	729	66
916	730	66
917	731	65
918	732	64
919	732	63
920	733	62
921	734	62
922	735	61
923	735	60
924	736	59
925	737	58
926	738	58
927	738	57
928	739	56
929	740	55
930	740	54
931	741	54
932	742	53
933	743	52
934	743	51
935	744	50
936	745	50
937	746	49
938	746	48
939	747	47
940	748	46
941	749	46
942	750	45
943	751	44
944	752	43
945	752	42
946	753	42
947	754	41
948	755	40
949	755	39
950	756	38
951	757	38
952	757	37
953	758	36
954	760	35
955	761	35
956	761	34
957	762	33
958	763	32
959	764	31
960	764	31
961	765	30
962	766	29
963	767	28
964	768	27
965	769	27
966	769	26
967	770	25
968	771	24
969	771	23
970	772	23
971	773	22
972	774	21
973	775	20
974	776	19
975	777	19
976	778	18
977	778	17
978	780	16
979	781	15
980	781	15
981	782	14
982	783	13
983	784	12
984	785	11
985	785	11
986	786	10
987	787	9
988	788	8
989	789	7
990	790	7
991	791	6
992	792	5
993	792	4
994	793	3
995	794	3
996	795	2
997	796	1
998	797	0
999	797	0
